"nome","valor_do_veiculo","total_vendas","vendas_veiculo"
"Mobi","29000","414","14747000"
"Up","35000","373","14368000"
"Picanto","32000","338","13243000"
"Forester","300000","28","9800000"
"208","79000","90","7425000"
"Corolla","140000","40","4368000"
"WRX","250000","15","3750000"
"Pajero","160000","13","2680000"
"L200","240000","10","2580000"
"onix","45200","33","1418400"
"XV","320000","4","1280000"
"Brz","240000","5","1200000"
"Yaris","45000","23","1125000"
"Lancer","60000","14","990000"
"Clio","25000","30","979000"
"E-JS1","145000","6","870000"
"March","28000","23","601000"
"2008","80000","7","570000"
"Duster","60000","11","460000"
"Sandero","30000","8","374000"
"Saveiro","60000","6","360000"
"Captur","70000","5","350000"
"Cronos","80000","4","320000"
"Gol","40000","9","288000"
"E-J7","270000","1","270000"
"Cerato","41000","6","254000"
"Sandero RS","80000","3","240000"
"Uno","19000","8","191000"
"T-Cross","90000","2","180000"
"J2","14000","14","165000"
"argo","49000","4","154000"
"Kombi","35000","3","125000"
"J5","25000","5","125000"
"Eclipse","124000","1","124000"
"Jetta","120000","1","120000"
"Polo","99000","1","99000"
"Rio","89000","1","89000"
"206","12000","6","72000"
"Palio","8000","3","35000"
"307","19000","1","19000"
